"(15, 44)","[[3.098323861307317, 32.676572471472355], [22.011579884142552, 39.09445376385174], [2.329608867229205, 42.53695856252887], [8.259173634877282, 28.73503808769058], [48.40095738169603, 34.05880596021745], [37.72423444010007, 26.485778748693644], [29.925221633610434, 44.65416921297049], [1.0881265651116079, 13.118209872630471], [49.860909340066115, 20.80763624401167], [34.82923263477517, 43.02169940463623], [21.675543406454743, 42.380117364452694], [16.759819121835022, 11.775822356573512], [37.551783258666404, 13.315226433033784], [12.248381570083728, 13.338479223840555], [11.654017914706055, 44.57192754955618], [3.098323861307317, 32.676572471472355]]"
"(15, 27)","[[39.21887100625769, 38.24277636527264], [18.800520228589402, 28.625229875607232], [14.040148808329278, 3.1846040079852864], [27.84132230471112, 1.674709507295219], [19.831573832016197, 23.159366836294936], [10.710726991158737, 31.135696336813425], [38.15984398384292, 7.174225360153269], [35.65499439384966, 31.06337134387825], [9.021520750040047, 29.053455946524803], [15.59114844289074, 5.383165689908265], [46.396722967728124, 17.273900179171786], [5.3778872456671065, 33.35855460405818], [31.774082528767288, 23.32342598305108], [22.27024625550808, 22.415833448821417], [25.845014924174254, 26.901933085494623], [39.21887100625769, 38.24277636527264]]"
"(15, 13)","[[49.39556780484027, 6.355534582358252], [27.15287172227281, 6.761465737033484], [6.52663777494748, 12.847580121909935], [9.493458831014529, 48.63831067075417], [24.20284442851263, 30.321829855446303], [9.781179371098364, 30.214933524177123], [21.099947843559036, 19.720394700400263], [9.272557610434372, 1.301914536628257], [29.19006928561485, 35.8665813882445], [34.46460242851515, 30.83836009768096], [10.068971634001583, 21.73435366028203], [17.85390736309356, 17.3027408712416], [40.52048080387666, 39.30709498784771], [0.66033203874305, 8.810981445851679], [19.57669996069123, 15.674767242236754], [49.39556780484027, 6.355534582358252]]"
"(15, 20)","[[30.201956401820723, 34.90052307940462], [22.298275655722584, 26.234786887151618], [30.9428241968584, 49.80680494254907], [24.578141858330397, 32.46387334962518], [37.94319653271101, 10.707826233919276], [34.994397404500205, 8.64255942073865], [6.141357391895602, 13.845760809416142], [7.838340865170923, 21.157383686816196], [12.008479368074854, 25.06620564797175], [42.61856267601231, 27.47464964332834], [27.345943461827932, 18.294642460030662], [33.47663841830908, 27.958798063591335], [11.782337525555953, 6.519032141052045], [5.632253094603312, 36.532948108707934], [40.98621185366747, 34.08647592284627], [30.201956401820723, 34.90052307940462]]"
"(15, 32)","[[24.632343376480932, 49.077261901708944], [36.80790538571753, 46.45741442263035], [29.090127668004722, 37.595869364130884], [12.608750206751102, 34.74476422703909], [31.531816840459236, 38.2137031694546], [44.98410966323644, 34.77068002525421], [20.19315475255726, 29.564980754254517], [11.67682970564537, 33.26766731689537], [22.70528867948411, 8.702954677782026], [24.061286544900547, 13.201515943089099], [47.8435005014824, 13.719484052055142], [10.90244794936382, 38.905719805506905], [45.54084579317808, 36.60810394128566], [47.15643512694715, 19.497448310143884], [30.68821173060694, 28.641090821654437], [24.632343376480932, 49.077261901708944]]"
"(15, 31)","[[16.26639848440566, 42.84866626691297], [44.982125822223566, 23.997513862387265], [12.069767202768105, 5.718038123092494], [26.240037698419645, 12.260509768503274], [3.0709225406903737, 44.082416536867136], [38.98234413067531, 34.33839234701262], [15.71605681297355, 39.17085316290495], [12.100891994189617, 23.92758208290212], [22.251224421002348, 46.93998724549994], [20.734543760080836, 46.818185268046804], [22.534041250445323, 22.00959858450449], [41.7408282832642, 43.81183977537464], [26.11940083312241, 25.663703974077006], [28.737384183255266, 18.11721469637283], [49.31650937558925, 12.57375633361239], [16.26639848440566, 42.84866626691297]]"
"(15, 1)","[[26.48579501719011, 27.263002085987754], [11.066318448603846, 16.235680841836597], [48.66386717056329, 13.188379837795889], [31.674247666330114, 29.133443494801202], [34.555261044559096, 11.387332938582395], [41.32238520692308, 14.348140139546539], [26.8132230536306, 26.127551681550663], [7.484350174222099, 14.236911717623412], [30.636727966319093, 45.11320330969561], [10.695976688886693, 39.40188929025168], [11.720492526776805, 43.565746101750655], [46.71818322145235, 33.21707629303593], [34.30327905617488, 41.65193734569954], [18.296641384315738, 29.341463848862563], [27.370945936716534, 45.28117620890269], [26.48579501719011, 27.263002085987754]]"
"(15, 43)","[[18.037567833774382, 15.657953378781308], [41.818117914282105, 12.910443489418311], [3.060830366112172, 38.099313708659864], [10.750703587344923, 25.199093394396893], [37.944027107517854, 17.842650314134534], [36.26743677947801, 45.694776595704845], [42.60916121625583, 32.264144906536146], [46.701638893792335, 28.025680340674747], [41.55145184827072, 30.54977863893033], [20.65730461833027, 33.223268803568054], [12.790747189013713, 47.582448613811714], [37.887475832525546, 0.001417273103099248], [13.5732625977042, 28.773175892029062], [36.357062114037596, 46.99092026122169], [36.738987220864075, 36.57217850778331], [18.037567833774382, 15.657953378781308]]"
"(15, 8)","[[20.99999459552928, 46.97955939820858], [19.147943400049748, 17.77630335550474], [13.104992964045698, 24.32562723558188], [48.439699669507625, 28.881989753079047], [28.201888251413177, 7.314152637224536], [40.767476944908466, 4.352617946280985], [34.10868192700829, 36.330489180626955], [17.35538876064981, 30.640636954874996], [9.141391758666801, 12.416231874697475], [10.469572600194827, 30.069420866356133], [30.242100223908064, 6.299062535374345], [38.184716908732995, 3.0580485338915664], [3.806425478760489, 20.679995098943564], [17.25953239046472, 17.55861479065896], [39.54202886932843, 33.74306314634807], [20.99999459552928, 46.97955939820858]]"
"(15, 50)","[[42.833867192280564, 7.951700309146103], [42.27572756968225, 38.13130657279869], [47.616561370254104, 49.127827561001936], [21.601561658285295, 25.578293639725487], [9.901767594036038, 41.30421741340644], [34.641417403078506, 30.679870562717632], [7.920729605261473, 18.290104083340573], [9.506336680029005, 32.59668879480774], [25.38916170401167, 2.2286610108438576], [21.31389548160407, 10.783845122362301], [9.663292848163142, 4.468260497683918], [28.067134285761014, 7.105410847054378], [44.29370294447404, 44.30496444238611], [44.67368891560024, 15.75285549160952], [4.816001849452717, 28.0096891677468], [42.833867192280564, 7.951700309146103]]"
